field_name	field_location	data_type	units	field_description	allowable_enumeration
metadata_index	metadata	string		A unique number for this building ID and upgrade ID combination which can be used for loading databases in chunks	""
bldg_id	metadata	integer		ID number for model	""
upgrade	metadata	string		ID of upgrade including 00 for Baseline	""
weight	metadata	float		The number of real buildings that this model represents in the U.S. building stock	""
in.sqft	metadata	float	ft2	Building total floor area	""
calc.weighted.sqft	metadata	float	ft2	The floor area that this model represents in the U.S. building stock. Summing across all models should match CBECS totals by building type.	""
in.upgrade_name	metadata	string		Name of upgrade if an upgrade was run	Package 4, Package 1 + Package 2|Package 1, Wall & Roof Insulation + New Windows|VRF with 25pct Upsizing Allowance|Baseline|LED Lighting|Roof Insulation|New Windows|Variable Speed HP RTU, Original Heating Fuel Backup|HP Boiler, Electric Backup|Packaged Water-to-Air Geothermal Heat Pump|Demand Control Ventilation|Package 2, LED Lighting + Variable Speed HP RTU or HP Boilers|DOAS HP Minisplits|Demand Flexibility, Thermostat Control, Load Shed|Package 5, Variable Speed HP RTU or HP Boilers + Economizer + DCV + Energy Recovery|Advanced RTU Controls|Secondary Windows|Electric Kitchen Equipment|Variable Speed HP RTU, Electric Backup, Energy Recovery|HP Boiler, Gas Backup|Console Water-to-Air Geothermal Heat Pump|Energy Recovery for AHUs|Demand Flexibility, Thermostat Control, Load Shift|Package 3, LED Lighting + Standard Performance HP RTU or HP Boilers|VRF with DOAS|Unoccupied AHU Control|Wall Insulation|Window Film|Variable Speed HP RTU, Electric Backup|Air Side Economizers for AHUs|Hydronic Water-to-Water Geothermal Heat Pump|Standard Performance HP RTU, Electric Backup|Comprehensive Geothermal Heat Pump Package, Hydronic GHP, Packaged GHP, or Console GHP
applicability	metadata	boolean		Specifies if an upgrade measure was applicable to model if an upgrade was run	""
in.building_america_climate_zone	metadata	string		DOE Building America climate zone	Hot-Dry|Mixed-Humid|Marine|Subarctic|Mixed-Dry|Very Cold|Cold|Hot-Humid
in.cambium_grid_region	metadata	string		Specifies Cambium grid region	NEWEc|SPSOc|AKGD|SPNOc|MROEc|RFCWc|HIOA|ERCTc|CAMXc|AZNMc|SRSOc|RFCEc|NYSTc|HIMS|SRTVc|SRMWc|RMPAc|FRCCc|SRMVc|AKMS|MROWc|RFCMc|NWPPc|SRVCc
in.census_division_name	metadata	string		Census division name	West North Central|Pacific|New England|Middle Atlantic|Mountain|South Atlantic|East South Central|East North Central|West South Central
in.census_region_name	metadata	string		Census region name	West|Northeast|South|Midwest
in.cluster_id	metadata	integer		The identified for the geographic cluster ComStock uses to group together areas with similar building stocks	""
in.cluster_name	metadata	string		The name for the geographic cluster ComStock uses to group together areas with similar building stocks	the Rochester and La Crosse Area|the Albuquerque-Santa Fe Area|Carson City, Storey and Washoe County|Small Urban Northern New York Areas|the Tulsa to Wichita Falls I-44 Corridor|Northwestern PA, Ashtabula and Chautauqua Counties|the Greater Central Virginia and Eastern Shore Area|Northern Pacific Coast|Brownsville-Corpus Christi-McAllen-Victoria Areas|the Greater Seattle Area|...too many to list
in.county_name	metadata	string		State abbreviation and county name	ME, Franklin County|CA, Alpine County|NC, Warren County|ND, Ward County|OH, Vinton County|PA, Lancaster County|TX, Harrison County|PA, Washington County|CA, Lassen County|ND, Burleigh County|...too many to list
in.iso_rto_region	metadata	string		Electric system ISO/RTO region	MISO|NEISO|ERCOT|None|SPP|PJM|CAISO|NYISO
in.nhgis_county_gisjoin	metadata	string		County identified, according to format of https://www.nhgis.org/geographic-crosswalks#details	G3100890|G2000790|G1801470|G1200390|G5101110|G4700910|G3700170|G3600710|G3100430|G1701610|...too many to list
in.nhgis_puma_gisjoin	metadata	string		Census PUMA identifier, according to format of https://www.nhgis.org/geographic-crosswalks#details	G04000126|G39001300|G04000115|G24001101|G24000507|G39005100|G09001100|G18001803|G06004701|G36001500|...too many to list
