iter	Passed	Remaining
0	4	2831
1	8	2433
2	11	2357
3	14	2220
4	18	2152
5	20	2065
6	23	1958
7	25	1890
8	29	1920
9	31	1847
10	35	1890
11	38	1896
12	41	1884
13	45	1894
14	47	1863
15	50	1858
16	53	1839
17	56	1812
18	60	1841
19	63	1836
20	65	1817
21	68	1792
22	70	1770
23	72	1749
24	76	1765
25	79	1760
26	83	1768
27	86	1772
28	89	1770
29	93	1776
30	95	1745
31	97	1732
32	101	1740
33	104	1732
34	106	1722
35	109	1713
36	112	1705
37	115	1708
38	118	1707
39	122	1708
40	125	1717
41	128	1710
42	132	1712
43	151	1908
44	153	1898
45	157	1901
46	160	1890
47	164	1890
48	167	1883
49	170	1875
50	174	1873
51	177	1869
52	181	1872
53	184	1863
54	187	1853
55	190	1853
56	193	1846
57	197	1846
58	200	1839
59	203	1829
60	207	1829
61	209	1819
62	213	1819
63	216	1815
64	219	1810
65	223	1805
66	226	1804
67	230	1804
68	233	1797
69	237	1799
70	240	1795
71	246	1804
72	249	1798
73	252	1791
74	255	1788
75	258	1783
76	262	1783
77	265	1777
78	269	1779
79	272	1769
80	275	1764
81	279	1764
82	282	1758
83	285	1755
84	289	1751
85	292	1745
86	295	1744
87	299	1744
88	303	1741
89	306	1735
90	309	1731
91	312	1724
92	314	1716
93	318	1713
94	321	1706
95	324	1702
96	327	1700
97	330	1692
98	334	1690
99	336	1683
100	339	1676
101	342	1673
102	345	1667
103	348	1662
104	352	1660
105	355	1655
106	358	1651
107	361	1646
108	364	1643
109	368	1640
110	371	1635
111	374	1633
112	377	1627
113	381	1624
114	384	1620
115	386	1612
116	388	1605
117	392	1602
118	395	1596
119	398	1593
120	401	1588
121	403	1581
122	406	1578
123	410	1574
124	413	1570
125	416	1566
126	419	1562
127	423	1560
128	426	1557
129	429	1552
130	433	1550
131	436	1546
132	439	1544
133	443	1540
134	446	1537
135	450	1535
136	452	1530
137	456	1527
138	459	1522
139	462	1518
140	465	1515
141	468	1510
142	472	1508
143	474	1504
144	477	1499
145	482	1498
146	484	1494
147	488	1491
148	491	1488
149	494	1484
150	498	1481
151	501	1478
152	505	1475
153	508	1471
154	511	1469
155	515	1466
156	518	1462
157	521	1459
158	524	1455
159	528	1453
160	531	1449
161	534	1445
162	537	1441
163	540	1437
164	544	1434
165	547	1431
166	550	1427
167	554	1425
168	557	1422
169	561	1419
170	563	1414
171	566	1409
172	569	1405
173	572	1401
174	575	1397
175	578	1393
176	581	1390
177	585	1387
178	588	1383
179	590	1378
180	594	1376
181	597	1373
182	601	1370
183	604	1366
184	607	1361
185	611	1360
186	613	1355
187	616	1350
188	619	1346
189	621	1342
190	625	1339
191	628	1336
192	632	1333
193	635	1330
194	639	1327
195	642	1325
196	656	1343
197	659	1339
198	662	1335
199	666	1332
200	669	1328
201	671	1323
202	674	1319
203	677	1314
204	680	1310
205	683	1307
206	686	1304
207	690	1301
208	694	1299
209	698	1297
210	701	1293
211	704	1289
212	708	1287
213	712	1284
214	715	1281
215	718	1277
216	722	1274
217	724	1270
218	727	1266
219	731	1263
220	734	1259
221	737	1255
222	740	1252
223	743	1248
224	746	1244
225	749	1240
226	753	1237
227	756	1234
228	759	1230
229	763	1228
230	766	1224
231	769	1220
232	772	1217
233	776	1214
234	779	1211
235	783	1208
236	785	1203
237	789	1200
238	792	1196
239	796	1194
240	799	1190
241	801	1185
242	805	1183
243	808	1179
244	811	1175
245	814	1172
246	817	1167
247	821	1165
248	824	1161
249	826	1157
250	831	1156
251	835	1154
252	839	1150
253	842	1146
254	853	1154
255	856	1151
256	860	1148
257	863	1144
258	866	1140
259	869	1137
260	872	1133
261	876	1130
262	879	1127
263	882	1123
264	886	1120
265	888	1116
266	891	1111
267	894	1108
268	897	1104
269	901	1101
270	904	1098
271	908	1095
272	911	1091
273	914	1087
274	918	1085
275	921	1081
276	924	1078
277	928	1075
278	931	1071
279	935	1068
280	937	1064
281	941	1061
282	945	1058
283	947	1054
284	951	1051
285	954	1047
286	958	1044
287	960	1040
288	963	1037
289	966	1033
290	969	1029
291	973	1026
292	976	1023
293	979	1019
294	983	1016
295	986	1013
296	990	1010
297	993	1006
298	996	1003
299	999	999
300	1002	995
301	1006	993
302	1009	989
303	1013	986
304	1016	983
305	1020	980
306	1024	977
307	1027	974
308	1031	971
309	1034	967
310	1037	964
311	1040	960
312	1043	956
313	1047	953
314	1050	950
315	1054	948
316	1057	944
317	1061	940
318	1064	938
319	1067	934
320	1071	930
321	1074	927
322	1076	923
323	1080	920
324	1083	916
325	1087	913
326	1090	910
327	1094	907
328	1096	903
329	1099	899
330	1103	896
331	1105	892
332	1109	889
333	1113	886
334	1116	882
335	1119	879
336	1122	876
337	1126	873
338	1129	869
339	1132	866
340	1136	863
341	1139	859
342	1143	856
343	1146	853
344	1149	849
345	1153	846
346	1156	843
347	1160	840
348	1163	836
349	1166	833
350	1169	829
351	1172	826
352	1176	823
353	1180	820
354	1186	818
355	1189	815
356	1193	812
357	1196	809
358	1202	806
359	1207	805
360	1210	801
361	1214	798
362	1217	794
363	1220	791
364	1222	787
365	1227	784
366	1229	780
367	1233	777
368	1236	774
369	1240	771
370	1243	767
371	1246	763
372	1249	760
373	1252	756
374	1255	753
375	1258	750
376	1261	746
377	1265	743
378	1268	739
379	1272	736
380	1275	733
381	1278	729
382	1295	733
383	1298	730
384	1301	726
385	1303	722
386	1307	719
387	1310	715
388	1314	712
389	1316	709
390	1319	705
391	1322	701
392	1325	698
393	1328	694
394	1331	690
395	1334	687
396	1338	684
397	1341	681
398	1344	677
399	1348	674
400	1351	670
401	1355	667
402	1358	664
403	1361	660
404	1365	657
405	1367	653
406	1371	650
407	1374	646
408	1376	642
409	1381	640
410	1384	636
411	1388	633
412	1391	629
413	1393	626
414	1397	623
415	1400	619
416	1404	616
417	1408	613
418	1412	609
419	1415	606
420	1418	602
421	1422	599
422	1425	596
423	1428	593
424	1431	589
425	1435	586
426	1438	582
427	1441	579
428	1445	576
429	1448	572
430	1453	569
431	1456	566
432	1459	562
433	1462	559
434	1465	556
435	1469	552
436	1472	549
437	1475	545
438	1478	542
439	1481	538
440	1485	535
441	1489	532
442	1492	529
443	1496	525
444	1500	522
445	1503	519
446	1507	515
447	1510	512
448	1513	509
449	1518	506
450	1521	502
451	1524	499
452	1526	495
453	1530	492
454	1534	488
455	1536	485
456	1540	481
457	1543	478
458	1546	475
459	1550	471
460	1553	468
461	1555	464
462	1558	461
463	1561	457
464	1565	454
465	1568	450
466	1571	447
467	1574	444
468	1577	440
469	1580	437
470	1583	433
471	1586	430
472	1590	427
473	1593	423
474	1596	420
475	1599	416
476	1602	413
477	1605	409
478	1608	406
479	1611	402
480	1614	399
481	1617	396
482	1620	392
483	1623	389
484	1627	385
485	1631	382
486	1634	379
487	1638	375
488	1641	372
489	1645	369
490	1648	365
491	1651	362
492	1655	359
493	1659	356
494	1663	352
495	1667	349
496	1671	346
497	1674	342
498	1676	339
499	1680	336
500	1683	332
501	1688	329
502	1691	326
503	1695	322
504	1698	319
505	1701	316
506	1704	312
507	1707	309
508	1711	305
509	1714	302
510	1716	299
511	1721	295
512	1723	292
513	1727	289
514	1730	285
515	1733	282
516	1737	278
517	1741	275
518	1744	272
519	1747	268
520	1751	265
521	1754	262
522	1757	258
523	1761	255
524	1764	252
525	1767	248
526	1770	245
527	1774	241
528	1778	238
529	1781	235
530	1785	231
531	1788	228
532	1791	225
533	1794	221
534	1797	218
535	1801	215
536	1804	211
537	1821	209
538	1825	206
539	1828	203
540	1832	199
541	1834	196
542	1838	192
543	1842	189
544	1845	186
545	1849	182
546	1852	179
547	1855	176
548	1858	172
549	1868	169
550	1883	167
551	1888	164
552	1891	160
553	1894	157
554	1898	153
555	1901	150
556	1903	146
557	1907	143
558	1910	140
559	1913	136
560	1916	133
561	1919	129
562	1922	126
563	1925	122
564	1928	119
565	1932	116
566	1934	112
567	1938	109
568	1940	105
569	1943	102
570	1946	98
571	1949	95
572	1951	91
573	1954	88
574	1957	85
575	1960	81
576	1963	78
577	1966	74
578	1969	71
579	1972	68
580	1975	64
581	1979	61
582	1981	57
583	1984	54
584	1987	50
585	1990	47
586	1993	44
587	1996	40
588	1999	37
589	2002	33
590	2005	30
591	2008	27
592	2011	23
593	2013	20
594	2016	16
595	2019	13
596	2022	10
597	2025	6
598	2028	3
599	2031	0
